time_s,radius_m,pressure_Pa,damage,tension_Npm
35.55,5.314414137592402e-5,2.1877797476493352,0.9182170364622675,5.8133838104229545e-5
35.58,5.314414137592402e-5,2.1877797476493352,0.9182170364622675,5.8133838104229545e-5
35.61,5.3144141375924014e-5,2.1877797476493352,0.9182170364622675,5.8133838104229545e-5
35.64,5.3144141375924014e-5,2.1877797476493352,0.9182170364622674,5.8133838104229626e-5
35.67,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
35.7,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
35.73,5.314414137592402e-5,2.187779747649335,0.9182170364622675,5.8133838104229545e-5
35.76,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
35.79,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
35.82,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
35.85,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
35.88,5.3144141375924014e-5,2.187779747649335,0.9182170364622675,5.8133838104229545e-5
35.91,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
35.94,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
35.97,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
36.0,5.3144141375924014e-5,2.187779747649335,0.9182170364622675,5.8133838104229545e-5
36.03,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
36.06,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
36.09,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
36.12,5.3144141375924014e-5,2.187779747649335,0.9182170364622674,5.8133838104229626e-5
36.15,5.3144141375924014e-5,2.187779747649335,0.9182170364622675,5.8133838104229545e-5
36.18,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.21,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.24,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.27,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.3,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.33,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.36,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.39,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.42,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.45,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.48,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.51,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.54,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.57,5.3144141375924014e-5,2.1877797476493344,0.9182170364622673,5.8133838104229714e-5
36.6,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.63,5.314414137592401e-5,2.1877797476493344,0.9182170364622674,5.813383810422941e-5
36.66,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.69,5.314414137592401e-5,2.1877797476493344,0.9182170364622673,5.813383810422949e-5
36.72,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.75,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
36.78,5.314414137592402e-5,2.1877797476493344,0.9182170364622675,5.8133838104229545e-5
36.81,5.3144141375924014e-5,2.1877797476493344,0.9182170364622675,5.8133838104229545e-5
36.84,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
36.87,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
36.9,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
36.93,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
36.96,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
36.99,5.3144141375924014e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
37.02,5.3144141375924014e-5,2.1877797476493344,0.9182170364622675,5.8133838104229545e-5
37.05,5.314414137592402e-5,2.1877797476493344,0.9182170364622675,5.8133838104229545e-5
37.08,5.314414137592402e-5,2.1877797476493344,0.9182170364622675,5.8133838104229545e-5
37.11,5.314414137592402e-5,2.1877797476493344,0.9182170364622674,5.8133838104229626e-5
37.14,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
37.17,5.3144141375924014e-5,2.187779747649334,0.9182170364622675,5.8133838104229545e-5
37.2,5.314414137592402e-5,2.187779747649334,0.9182170364622675,5.8133838104229545e-5
37.23,5.3144141375924014e-5,2.187779747649334,0.9182170364622673,5.8133838104229714e-5
37.26,5.314414137592402e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
37.29,5.314414137592402e-5,2.187779747649334,0.9182170364622675,5.8133838104229545e-5
37.32,5.3144141375924014e-5,2.187779747649334,0.9182170364622675,5.8133838104229545e-5
37.35,5.3144141375924014e-5,2.187779747649334,0.9182170364622675,5.8133838104229545e-5
37.38,5.314414137592402e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
37.41,5.314414137592402e-5,2.187779747649334,0.9182170364622675,5.8133838104229545e-5
37.44,5.314414137592402e-5,2.187779747649334,0.9182170364622675,5.8133838104229545e-5
37.47,5.3144141375924014e-5,2.187779747649334,0.9182170364622675,5.8133838104229545e-5
37.5,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
37.53,5.3144141375924014e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
37.56,5.314414137592402e-5,2.187779747649334,0.9182170364622674,5.8133838104229626e-5
